round,country,hashtag,rank,televoting,jury
2017_final,Portugal,POR,1,376,382
2017_final,Bulgaria,BUL,2,337,278
2017_final,Moldova,MDA,3,264,110  
2017_final,Belgium,BEL,4,255,108
2017_final,Sweden,SWE,5,126,218
2017_final,Italy,ITA,6,208,126
2017_final,Romania,ROM,7,224,58
2017_final,Hungary,HUN,8,152,48
2017_final,Australia,AUS,9,2,171
2017_final,Norway,NOR,10,29,129
2017_final,Netherlands,NED,11,15,135
2017_final,France,FRA,12,90,45   
2017_final,Croatia,CRO,13,103,25
2017_final,Azerbaijan,AZE,14,42,78
2017_final,United Kingdom,GBR,15,12,99
2017_final,Austria,AUT,16,0,93
2017_final,Belarus,BLR,17,33,50
2017_final,Armenia,ARM,18,21,58
2017_final,Greece,GRE,19,29,48
2017_final,Denmark,DEN,20,8,69
2017_final,Cyprus,CYP,21,32,36
2017_final,Poland,POL,22,41,23
2017_final,Israel,ISR,23,5,34
2017_final,Ukraine,UKR,24,24,12
2017_final,Germany,GER,25,3,3
2017_final,Spain,ESP,26,5,0
2017_semi1,Portugal,POR,1,197,173
2017_semi1,Moldova,MDA,2,180,111
2017_semi1,Sweden,SWE,3,103,124
2017_semi1,Belgium,BEL,4,125,40
2017_semi1,Cyprus,CYP,5,103,61
2017_semi1,Australia,AUS,6,21,139
2017_semi1,Armenia,ARM,7,65,87
2017_semi1,Azerbaijan,AZE,8,63,87
2017_semi1,Poland,POL,9,69,50
2017_semi1,Greece,GRE,10,54,61
2017_semi1,Georgia,GEO,11,37,62
2017_semi1,Finland,FIN,12,51,41
2017_semi1,Czech Republic,CZE,13,2,81
2017_semi1,Albania,ALB,14,38,38
2017_semi1,Iceland,ISL,15,31,29
2017_semi1,Montenegro,MNE,16,39,17
2017_semi1,Slovenia,SLO,17,20,16
2017_semi1,Latvia,LAT,18,20,1
2017_semi2,Bulgaria,BUL,1,204,199
2017_semi2,Hungary,HUN,2,165,66
2017_semi2,Israel,ISR,3,132,75
2017_semi2,Netherlands,NED,4,51,149
2017_semi2,Norway,NOR,5,52,137
2017_semi2,Romania,ROM,6,148,26
2017_semi2,Austria,AUT,7,32,115
2017_semi2,Croatia,CRO,8,104,37
2017_semi2,Belarus,BLR,9,55,55
2017_semi2,Denmark,DEN,10,5,96
2017_semi2,Serbia,SRB,11,45,53
2017_semi2,Switzerland,SUI,12,49,48
2017_semi2,Ireland,IRL,13,41,45
2017_semi2,Estonia,EST,14,69,16
2017_semi2,Macedonia,MKD,15,40,29
2017_semi2,Malta,MLT,16,0,55
2017_semi2,Lithuania,LTU,17,25,17
2017_semi2,San Marino,SMR,18,1,0
